Naslov,Kategorija,Tekst
Goran Tomić progovorio o budućnosti: 'Ostajemo fokusirani na naslov',Nogomet,"Trener Simon Rožman bio je vidljivo zadovoljan nastupom svoje momčadi koja je sigurnom igrom svladala Hajduk Split. Utakmica je bila obilježena borbenim Football-om bez puno tehničke nadmoći. Oba trenera su taktički dobro pripremila momčadi, a razliku je napravila kvaliteta individualaca. Dinamo Zagreb je pokazao da je sposoban pobijediti i kada nije u najboljoj formi, što govori o mentalnoj jakosti ove momčadi. Posebno se istakao Mario Mandžukić čije su igre bile ključne u kreativnom dijelu igre. 'Zadovoljan sam kako smo se borili, ali znam da moramo igrati bolje ako želimo veliku titulu', zaključio je Simon Rožman. Dinamo Zagreb nastavlja dobru formu i ostaje u vrhu ljestvice, dok Hajduk Split mora hitno popraviti igru."
Andy Murray najavio kraj karijere: Emotivne scene,Tenis,"Donna Vekić nastavlja sjajan nastup na turniru i prošla je u sljedeći krug zahvaljujući izvanrednoj igri. 'Holger Rune je igrao nevjerojatan tenis. Svaki servis, svaki return, svaki bekhend — sve je bilo na vrhunskoj razini', rekao je komentator. Taylor Fritz je u drugom setu pokazao borc duh i smanjio prednost, ali Holger Rune nije dopustio preokret. 'Morao sam ostati smiren i igrati svoju igru. Protivnik je bio izvanredan, ali vjerovao sam u sebe', izjavio je pobjednik. Pohvale su stigle i od strane bivših šampiona koji su pratili meč iz komentatorkse kabine. Teniska zajednica prati s oduševljenjem ovaj sjajni turnir."
Verstappen dominira na VN Silverstone: Pobijedio s velikom razlikom,Formula 1,"Velika nagrada Formule 1 u Spa-Francorchamps pružila je navijačima nezaboravnu utrku. Alexander Albon je trijumfovao ispred Valtteri Bottas, a razlika na kraju je bila 16.998 sekundi. Utrka je bila obilježena dramatičnim pitstopovima i taktičkim duelima. Alexander Albon je izašao iz boksa na idealnoj poziciji i zadržao vodstvo sve do cilja. Momčad Aston Martin bila je besprijekorna u izvršavanju strategije. 'Cijela ekipa je radila sjajno, od inženjera do mehaničara — svi su zaslužni za ovu pobjedu', kazao je Alexander Albon na podiju dok je šampanjac tekao. Navijači i analitičari jednoglasni su — bila je to jedna od boljih utrka sezone."
Ozljeda potresla Osijek: Ivo Grbić izvan stroja tjednima,Nogomet,"Veliki derbi između Osijek i Hajduk Split privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 1:3. Reprezentativac Duje Ćaleta-Car još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Duje Ćaleta-Car nakon utakmice. Hajduk Split nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Duje Strukan vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Gonzalo Garcia naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
VAR drama u HNL-u: Osijek ostao bez pobjede u posljednjoj minuti,Nogomet,"U uzbudljivoj utakmici 1. kola HNL-a, Dinamo Zagreb je na svom terenu svladao Slaven Belupo rezultatom 4:3. Reprezentativac Duje Ćaleta-Car još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Duje Ćaleta-Car nakon utakmice. Slaven Belupo nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Duje Strukan vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Dinamo Zagreb nastavlja dobru formu i ostaje u vrhu ljestvice, dok Slaven Belupo mora hitno popraviti igru."
VK Jadran Split srušio favorite i iznenadio Europu,Vaterpolo,"Hrvatska vaterpolska reprezentacija priredila je pravo slavlje pobjedom nad Mađarska rezultatom 16:9. Posebno se istakao Zvonimir Butić s nekoliko važnih pogodaka. Hrvatska je dominirala u prvoj četvrtini zahvaljujući izvrsnoj igri u napadu i čvrstoj obrani. Vratar je bio neprobojni zid za suparničke napadače koji su imali nekoliko dobrih šuteva. 'Ovako moramo igrati svaki meč. Koncentracija je bila na vrhuncu i tome se veselim', kazao je Zvonimir Butić nakon meča. Hrvatska je ukupno postigla 16 pogodaka uz odličnu timsku suradnju. Zvonimir Butić: 'Nije bilo lako, ali znali smo da možemo. Idemo dalje!'"
Mladi talent Istra oduševio skautere: Transfer pred vratima,Nogomet,"U uzbudljivoj utakmici 11. kola HNL-a, Osijek je na svom terenu svladao Varaždin rezultatom 2:1. Ključan pogodak postigao je Tin Jedvaj u 30. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Simon Rožman je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Varaždin je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Osijek priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Osijek nastavlja dobru formu i ostaje u vrhu ljestvice, dok Varaždin mora hitno popraviti igru."
Zlatko Dalić najavio sastav: Ovo su igrači koji idu na turnir,Nogomet,"Trener Mario Kovačević bio je vidljivo zadovoljan nastupom svoje momčadi koja je sigurnom igrom svladala Osijek. Reprezentativac Mario Pašalić još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Mario Pašalić nakon utakmice. Osijek nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Duje Strukan vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Mario Kovačević naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Dustin Poirier nokautirao Alexander Volkanovski u prvoj rundi: Nevjerojatna scena,MMA,"Borba večeri na ONE Championship eventu pružila je navijačima nezaboravnih trenutaka. Sean O'Malley je pokazao sve dimenzije svog borilačkog umijeća. Borba je trajala sve do 2. runde kada je Sean O'Malley pronašao otvaranje i završio borbu na zadovoljstvo publike. 'Ovo je jedinstven osjećaj. Znao sam da imam što je potrebno i danas sam to pokazao', kratko je rekao Sean O'Malley. Komentatori su bili jednoglasni — bila je to borba večeri, možda i borba godine. Jiří Procházka je u izjavi čestitao rivalu: 'On je bio bolji večeras, ali to nije kraj moje priče.'"
Sporting CP savladao Veszprém u uzbudljivoj utakmici Europske lige,Rukomet,"Rukometaši Poreč priredili su pravo iznenađenje pobijedivši favorizirani Paris Saint-Germain. Utakmica je bila obilježena velikom atmosferom u dvorani i izvanrednim borilačkim duhom obiju ekipa. Karlo Knežević je preuzeo odgovornost u ključnim trenucima kada je momčad trebala pogotke. Trener je naglasio zadovoljstvo kolektivnim pristupom: 'Svi su dali maksimum. Ovo je pravi tim koji zna što želi.' Karlo Knežević se osvrnuo na utakmicu: 'Nismo bili savršeni, ali borba i srce bili su tu svake sekunde.'"
