Naslov;Kategorija;Tekst
Dinamu stigla najbolja moguća vijest: Važan igrač nije teže ozlijeđen;Nogomet;Bilo je bojazni da je riječ o težoj ozljedi, no nakon dodatnog pregleda, ustanovljeno je da nije tako ozbiljno, nije riječ o puknuću križnog ligamenta već o istegnuću U 23. minuti derbija između Dinama i Rijeke koji je završio s 2:2 iz igre je morao Gabrijel Vidović. Dinamova desetka koja igra na poziciji lijevog krila ostala je ležati, nije mogao nastaviti igru i u mjesto njega je ušao Arber Hoxha. Liječnička služba plavih je nakon prvih pregleda ustvrdila da vjerojatno nije riječ o puknuću prednjeg križnog ligamenta, ali potpuna bojazan otklonjena je nakon dodatnih pregleda. Tako smo iz kluba saznali da je nakon tog dodatnog pregleda, ustanovljeno kako Vidović nije teže ozljeđen, ne radi se ni o kakvom puknuću već o blažem istegnuću ligamenta koljena. Već danas je Vidović krenuo u proces oporavka i očekuje se njegov brzi povratak na teren. Koliko će trajati oporavak, iz kluba nam nisu znali precizirati. Dinamo u srijedu igra u Puli protiv Istre, sigurno je da će Vidović propustiti tu utakmicu, a hoće li još pokoju tek će se vidjeti.
Čudesan potez Mandžukića na kultnom zagrebačkom terenu. Pogledajte majstoriju;Nogomet;Na današnjom susretu postigao je prekrasan pogodak. Prsima je primio dugu loptu iza suparničkih braniča te ju je, prije nego što je pala, u padu poslao u mrežu Revijalnom utakmicom između legendi Dinama i legendi hrvatske nogometne reprezentacije na igralištu Klinček danas završava Memorijal Nikola Pokrivač. Memorijal koji je u organizaciji Dinamove zaklade Nema predaje, posvećen je bivšem hrvatskom reprezentativcu te nekadašnjem igraču Varteksa, Dinama, Monaca, Rijeke i drugih klubova, koji je poginuo u prometnoj nesreći 18. travnja prošle godine. U revijalnoj utakmici nastupio je legendarni Mario Mandžukić (39). Bivši napadač Zagreba, Dinama, Wolfsburga, Bayerna, Atletico Madrida, Juventusa i Milana završio je karijeru 2021. godine. Na današnjom susretu postigao je prekrasan pogodak. Prsima je primio dugu loptu iza suparničkih braniča te ju je, prije nego što je pala, u padu poslao u mrežu. - Forma je prolazna, klasa je vječna. Majstorija by Mario Mandžukić - stoji u opisu objave Dinamove zaklade Nema predaje.
Modrić s Mandžukićem tri godine nije želio razgovarati, a evo koji je potez sada povukao;Nogomet;"Da su Modrić i Mandžukić u međuvremenu izgladili odnos svjedoči i priča koju su talijanski mediji objavili ovih dana. KModrić je na utakmicu svog Milana protiv gradskog rivala Intera (1:0) pozvao čak 60 ljudi i kupio im karte. Gotovo svi malo stariji Hrvati sjećaju se 11. srpnja 2018. godine kad su vatreni u polufinalu Svjetskog prvenstva u Rusiji srušili englesku reprezentaciju i tako se plasirali u veliko finale. Pobjednički gol za Hrvatsku zabio je legendarni Mario Mandžukić, a najboljim igračem tog turnira proglašen je naš kapetan Luka Modrić. Ipak, malo obožavatelja zna da Mandžukić i Modrić u prošlosti nisu razgovarali čak tri godine. Njihov odnos sada je popravljen i opet prijateljski, ali nije uvijek bilo tako. Dvojica nogometaša zahladila su odnos uoči dodatnih kvalifikacija za Svjetsko prvenstvo u Brazilu 2014. godine, a Modrić je o tome progovorio u autobiografiji ""Moja igra"".. ""Rekao sam mu: 'Hajde, Mario, idemo danas jako.' Bilo je to onako kako igrači često međusobno potiču jedni druge na treningu ili utakmici, a Mandžukić me je, međutim, iznenadio svojom reakcijom. 'Samo ti gledaj sebe, pusti me.' Mislio sam da je riječ o nekom trenutnom neraspoloženju, kao da se nešto ljutio na mene, a nisam imao logično objašnjenje"", otkrio je Luka u knjizi pa nastavio: ""S njim sam uvijek imao dobar odnos. Bili smo u stalnom kontaktu sve do tada, a onda je nastala tišina i odnos je zahladio. Da sam imao današnju mudrost, raščistio bih to odmah ili u najgorem slučaju na sljedećem okupljanju reprezentacije, no i ja sam bio prkosan. Kada se dva teška karaktera nađu u kratkom spoju, energija nestane. Meni je, iskreno, bilo krivo, ali nisam htio povući prvi potez, a očito nije ni on."" A da su Modrić i Mandžukić u međuvremenu izgladili odnos svjedoči i priča koju su talijanski mediji objavili ovih dana. KModrić je na utakmicu svog Milana protiv gradskog rivala Intera (1:0) pozvao čak 60 ljudi i kupio im karte. Među uzvanicima su bili brojni njegovi prijatelji, a među njima i - Mario Mandžukić."
Garcia: Vidim što želi novi sportski direktor Hajduka. Ne znam tko će igrati umjesto Livaje;Nogomet;"Trener Hajduka Gonzalo Garcia obratio se novinarima uoči prvenstvenog susreta 31. kola protiv Osijeka na Poljudu. Nakon blijedog remija (2:2) u Koprivnici, španjolski stručnjak nije skrivao veliko razočaranje pristupom svoje momčadi, a komentirao je i suradnju s novim sportskim direktorom te brojne kadrovske probleme koji ga muče ""Bio sam jako razočaran, a nije me lako razočarati"", započeo je Garcia s osvrtom na utakmicu protiv Slaven Belupa. ""Nije stvar u tome da imaš lošiji dan, već kada vidim i osjećam da ne daješ najbolje od sebe, onda me to zaboli. Bio sam čak i ljut, ali istodobno sada moram biti oprezan. Ova momčad naporno radi cijele sezone i mogu razumjeti da se nekad dogodi ovakav dan. Ne smijem pretjerivati, ali neki zaista moraju više. Recimo, Brajković nije imao svoj dan, ali se borio i nije odustajao. Nitko od igrača nije imao najbolji dan, ali stvar je stava na terenu, to ne smije izostati"", poručio je trener Bijelih. Situacija se dodatno komplicira uoči dolaska Osijeka jer je lista izostanaka poprilično duga. Hajduk će biti značajno oslabljen neigranjem kapetana Marka Livaje, koji je zaradio četvrti žuti karton. Uz njega, sigurno otpadaju Filip Krovinović, Diallo i Hodak, dok je upitan nastup Skelina. ""Za Krovinovića znamo da ima problem, osjetio je bol i zglob mu je natekao. Vidjet ćemo koliko će izostajati. Što se tiče Nike Sigura, on nema neke strašne probleme, ali moramo biti oprezni. Postoji mogućnost da se vrati"", pojasnio je Garcia. Dobre vijesti su povratak u kadar najboljeg strijelca kluba Michelea Šege, koji je s 11 golova propustio Koprivnicu zbog udarca u rebra, te Ikera Almene. Unatoč problemima, optimizam ulijeva dolazak novog sportskog direktora, Poljaka Roberta Grafa, s kojim je Garcia već obavio inicijalne razgovore. ""Dojmovi su dobri. Jučer smo kratko razgovarali, danas isto. Normalna je osoba koja želi raditi, ima sustav i organizaciju, a to u ovakvim situacijama pomaže. Veliki sam optimist, a inače nisam takva osoba. Vidim jasno što on želi"", otkrio je Garcia. Nisu još razgovarali o konkretnim pozicijama, ali jesu o profilu igrača. ""Mislim da imamo istu viziju. Mora biti dobar taktički i tehnički, ali tu su i mentalna snaga te fizički dio. Jasno je da nam treba više intenziteta ako se želimo natjecati na višoj razini. Ne smijemo biti samo dobri, moramo biti odlični."" Na ključno pitanje tko će zamijeniti Livaju u vrhu napada, Garcia nije ponudio konkretan odgovor. ""Ne znam tko će igrati, vidjet ćemo još"", kratko je kazao, ostavljajući otvorene sve opcije. Pohvalio je i mladog Hurama, koji će trenirati s prvom momčadi i protiv Osijeka bi trebao biti na klupi, a možda dobije i minutažu. O samom protivniku ima samo riječi hvale, bez obzira na njihovu poziciju na ljestvici. ""Neobično su zahtjevne ovakve utakmice. Osijek ima kvalitetan kadar i nije mi jasno kako su tako nisko. Opasni su u tranziciji, bit će teška utakmica. No, ako radimo ono što želimo, možemo pobijediti svakoga. Sve će ovisiti o nama, našem pristupu i intenzitetu"", zaključio je trener Hajduka."
Dinamo je toliko podignuo standarde da i solidna izvedba izgleda kao pad, a Beljo je svima začepio usta;Nogomet;"Zakon velikih brojeva sugerira da je ova Dinamova serija od osam uzastopnih pobjeda morala završiti. Forma zagrebačke momčadi bila je na toliko visokoj razini proteklih tjedana da ona jednostavno u određenom trenutku nije mogla otići nigdje drugdje osim prema dolje Subotnji domaći remi protiv Rijeke (2:2) ni u kojem pogledu nije drama niti znak za uzbunu Dinamu, koji je i dalje komotno prva momčad ligaške ljestvice HNL-a s deset bodova prednosti nad drugoplasiranim Hajdukom šest kola prije kraja sezone. Međutim, to što situacija nije dramatična, ne znači da ne možemo prepoznati određene obrasce koji se događaju u momčadi. Prepoznao ih je i trener plavih Mario Kovačević koji je nakon neuobičajenog derbija protiv branitelja naslova istaknuo: – U zadnjim utakmicama smo možda u malom padu. Primili smo i protiv Gorice i Vukovara golove. Povedemo pa kao da smo mislili da je gotova utakmica. Nismo bili dobri s loptom, to mi malo smeta – poručio je Kovačević u subotu. Zakon velikih brojeva sugerira da je ova Dinamova serija od osam uzastopnih pobjeda morala završiti. Forma zagrebačke momčadi bila je na toliko visokoj razini proteklih tjedana da ona jednostavno u određenom trenutku nije mogla otići nigdje drugdje osim prema dolje. Kao što Kovačević sam tvrdi, obrana plavih je u posljednje vrijeme počela propuštati znatno više od očekivanog, s brojnim tehničkim, pozicijskim i taktičkim pogreškama. U posljednja tri dvoboja Dinamo je primio šest pogodaka, što je isti broj golova koje je momčad primila u deset utakmica u nacionalnim natjecanjima prije ova posljednja tri dvoboja. Pojedinci poput Sergija Domingueza, Brune Gode i Morisa Valinčića su u ovom trenutku daleko od forme koja ih je znala krasiti u prethodnim dijelovima sezone, što nipošto nije nevažan faktor, posebice u slučaju Domingueza i Valinčića, na koje se u budućnosti (možda čak i ovog ljeta) računa u kontekstu potencijalnih izlaznih transfera koji bi u Dinamovu blagajnu mogli donijeti čak i dvoznamenkaste milijunske iznose. Ako se ovakva klimava forma nastavi, ti iznosi će opravdano padati u očima kupaca. Što se tiče igre u drugom smjeru, činjenice upućuju na to da je ona na ekstremno visokoj razini. U posljednjih pet utakmica Dinamo je zabio suluda 24 pogotka, dakle gotovo pet u prosjeku po susretu. Kovačevićeva poanta da ga smeta što njegovi igrači nisu bili dobri s loptom protiv Rijeke najviše govori o tome koliko je momčad sama za sebe podignula standard i očekivanja za svoju igru. Generalno gledano, kada trener za tri utakmice u kojima je dvaput pobijedio te jednom remizirao govori da je ekipa u malom padu, to je zapravo jako dobar znak za Dinamo, jer ako se ni pri padu ne upisuju porazi te se osvaja većina dostupnih bodova, onda znate da vam je momčad dobra. Nijedan tekst o Dinamu u drugom dijelu sezone ne može biti napisan, a da se pritom ne spomene maestralni Dion Drena Beljo, koji je protiv Rijeke poentirao dvaput te svima onima koji tvrde da ""samo zabija momčadima poput Vukovara i Gorice"" rezolutno začepio usta. Beljo je glavna zvijezda ove sjajne proljetne forme, a sada je već na brojkama od 27 pogodaka u HNL-u te 34 u svim natjecanjima. Dok Beljo efikasno rješava gotovo svaku svoju veliku priliku, Dinamo ne bi trebao imati nikakve brige, jer uzevši razliku u kvaliteti u odnosu na druge momčadi iz lige, plavi će šanse definitivno stvarati, a to je sve što Belji treba"
Neviđen kaos na travnjacima HNL-a: Zbog VAR provjere izgubljeno gotovo 30 minuta nogometa;Nogomet;U subotu 18. travnja odigrane su posljednje dvije utakmice 30. kola HNL-a, a obilježile su ih brojne dvojbene situacije i duge VAR provjere. U prvoj utakmici Dinamo je ugostio Rijeku na Maksimiru te na poluvrijeme otišao s prednosti od 1:0 da bi nas na početku nastavka dočekala poruka kako VAR djelomično nije u funkciji. Rijeka je izjednačila u 51. minuti nakon gola Tiaga Dantasa iz jedanaesterca. U 64. minuti, Patrik Pavlešić sudi novi kazneni udarac za goste s Kvarnera, a igrači Dinama žalili su se na zaleđe te kako jedanaesterac ne bi trebao biti sviran. Uslijedila je provjera situacija, za koju gledatelji nisu odmah znali da je u tijeku budući da nisu znali radi li VAR, a ona je potrajala čak šest minuta pa je Dantas svoj drugi pogodak zabio tek u 71. minuti iz kakznenog udarca koji je sviran u 64. U 81. minuti, Ante Oreč srušio je Arbera Hoxhu u svom kaznenom prostoru te su igrači Dinama tražili kazneni udarac. Pavlešić je prvo dao nekoliko minuta VAR sobi da vidi o čemu se radi da bi na kraju i sam išao pregledati situaciju te dosudio kazneni udarac za domaće koji je izveden u 86. minuti. To znači da se u ovoj utakmici ukupno izgubilo 11 minuta nogometa, a Pavlešić je dao samo osam minuta sudačke nadoknade. Puno sudačke drame bilo je i na kasnijem susretu Istre i Vukovara u Puli. U 67. minuti, kod rezultata 1:1, Ante Čulina svirao je kazneni udarac za goste zbog igranja rukom Tarabe u kaznenom prostoru. Uslijedila je čak osam minuta duga VAR provjera kada se pokušavalo definirati je li bilo igranja rukom i je li bilo zaleđa igrača Vukovara ranije u akciji. Na kraju je potvrđena prvobitna odluka te je Jakov Puljić realizirao kazneni udarac u 75. minuti. U 89. minuti Antonio Maurić donio je izjednačenje Istri, no sreća domaćina trajala je samo pet minuta. Toliko je naime trajala VAR provjera nakon koje je pogodak poništen zbog prekršaja Obanda na Gurlici ranije u akciji. Pokazano je 11 minuta sudačke nadoknade, no igralo se znatno duže pa je Robin Gonzalez u 105. minuti povećao prednost Vukovara na 3:1. Nije se ni on predugo radovao jer je dvije minute kasnije gol poništen zbog igranja rukom. Dakle, u dvije subotnje utakmice HNL-a imali smo pet VAR provjera koje su trajale ukupno 26 minuta.
Igrač Reala hitno hospitaliziran: Izgubio je šest kilograma u samo nekoliko dana;Nogomet;Iza braniča madridskog Reala Raula Asencija vrlo je teških nekoliko tjedana. Prvo je zbog nesuglasica s trenerom Alvarom Arbeloom bio privremeno marginaliziran u momčadi te nije imao mjesta u početnoj jedanaestorki, sada ima problema s bolesti zbog koje je morao propustiti utakmicu protiv Bayerna u Ligi prvaka u srijedu. Asencija muči gastroenteritis te je zbog čestog povraćanja i gubitka čak šest kilograma u samo nekoliko dana u subotu primljen u bolnicu. U klubu se nadaju kako će mu hospitalizacija pomoći da čim prije preboli gastroenteritis, no svjesni su kako će mu trebati neko vrijeme da se vrati u formu - pogotovo nakon naglog gubitka mase. Za njega bi do kraja sezone ionako moglo biti vrlo malo raspoloživih minuta budući da prednost u Arbeloinim očima imaju Antonio Rudiger, Dean Huijsen i Eder Militao. Postoje naznake kako bi Real ovoga ljeta mogao i prodati Asencija budući da radi na dovođenju novog centralnog braniča. Za očekivati je kako će se Asencio vratiti u momčad kroz sedam do deset dana, no neće odmah konkurirati za prvu momčad. Prvo mora vratiti izgubljene kilograme i vratiti se u vrhunsku fizičku formu.
Nezapamćen skandal dogodio se u Realu: Četiri igrača odbila su putovati na utakmicu!;Nogomet;Iz Madrida stižu informacije koje su donedavno bile nezamislive u Realu. Prema informacijama španjolskih medija, dio igrača odbio je putovati na prvenstvenu utakmicu protiv Celte u Vigu početkom ožujka, što je izazvalo paniku unutar kraljevskog kluba. Prema dostupnim informacijama, četvorica nogometaša nisu željela ići s momčadi na gostovanje kod Celte. Među njima su se našlii Eduardo Camavinga, Dani Carvajal, Raul Asencio i Alvaro Carreras. - Camavinga, Raul Asencio i još dvojica igrača odbili su putovati u Vigo. Klub je morao uskočiti i riješiti situaciju - objavio je novinar Pepe Alvarez. Naknadno je otkriveno kako su Camavinga i Carreras imali relativna opravdanja, Francuz je patio od jake upale zuba, a španjolski branič imao je suspenzije. Međutim, razlozi zbog kojih Carvajal i Asencio nisu željeli putovati ostali su nerazjašnjeni.
Navijači Santosa oštro napali legendu, Neymar im emotivno odgovorio: 'Nijedno ljudsko biće to ne može izdržati';Nogomet;"Zaljubljenici u Santos sumnjaju kako je Neymar to učinio kako ne bi čuo njihove zvižduke koji su krenuli još kad je pokušao napraviti 'sombrero' u trenucima dok mu momčad lovi zaostatak, a samo su se pojačali dok je izlazio s terena Nogometaši Santosa sinoć su poraženi od Fluminensea u brazilskom prvenstvu, no glavna tema medija ponovno je 34-godišnja zvijezda Santosa - Neymar. Brazilac je pokrivao uši dok je izlazi s terena, ili ih je samo češao, što je naljutilo navijače njegovog kluba. Zaljubljenici u Santos sumnjaju kako je Neymar to učinio kako ne bi čuo njihove zvižduke koji su krenuli još kad je pokušao napraviti 'sombrero' u trenucima dok mu momčad lovi zaostatak, a samo su se pojačali dok je izlazio s terena. 34-godišnjaka su takvi stavovi razljutili pa je odlučio navijačima odgovoriti na društvenim mrežama: - Došao je dan kada moram objašnjavati zašto sam se češao po uhu. Ozbiljno, preoštri ste i prelazite granicu... Jako je tužno morati se nositi s ovim! Nijedno ljudsko biće to ne može izdržati - napisao je na društvenim mrežama. Fotografiju Neymara kako pokriva uši dok izlazi s terena podijelio je i TNT Sports uz opis: ""Neymar nije želio čuti protest navijača. Zvijezda Santosa ranije ovog tjedna posvađala se s vlastitim navijačem, a sada nakon poraza od Fluminensea teren napušta s prstima u ušima"". - Češao sam uho, koji k**ac! Zar se sada ne smijem ni po uhu počešati? J**i se, jadni administratore! - napisao je Neymar. On se trenutačno pokušava izboriti za mjesto u reprezentaciji Carla Ancelottija koja će ovog ljeta sudjelovati na Svjetskom prvenstvu u SAD-u, Kanadi i Meksiku, no ne ide mu najbolje. Talijanski trener rekao je kako Brazilac mora dokazati da mu tijelo može izdržati zahtjeve modernog nogometa i to je uvjet koji mora ispuniti da se nađe u avionu za Sjevernu Ameriku."
'Moramo više prilika davati mladim talentima, umjesto da triput više plaćamo prosječne strance!';Nogomet;"- Stalno pljujemo našu ligu iz koje su potekli igrači koji su ostvarili velike rezultate u reprezentaciji. Kada dovedete Gattusa, dajete europski štih ligi. A besmisleno je dovoditi ""bezimene"" trenere. Treba dati priliku našim trenerima, a stranac mora praviti razliku. Tako i nas tretiraju vani. Kao da otkrivamo toplu vodu - kaže nam ugledni hrvatski menadžer Marko Naletilić. O različitim nogometnim temama razgovarao sam s Markom Naletilićem, jednim od naših najuglednijih nogometnih menadžera. Posvećen je pripremama za sljedeći prijelazni rok..."
